workshop_id,weight,rule
1451261909,1.000000,"0-2000 blocks, one in 1"
1453302572,1.000000,"0-2000 blocks, one in 1"
1453309903,1.000000,"0-2000 blocks, one in 1"
1457866852,1.000000,"0-2000 blocks, one in 1"
1458123872,1.000000,"0-2000 blocks, one in 1"
1459141038,1.000000,"0-2000 blocks, one in 1"
1459318665,1.000000,"0-2000 blocks, one in 1"
1459348002,1.000000,"0-2000 blocks, one in 1"
1459733336,1.000000,"0-2000 blocks, one in 1"
1460219898,1.000000,"0-2000 blocks, one in 1"
1460380381,1.000000,"0-2000 blocks, one in 1"
1460388964,1.000000,"0-2000 blocks, one in 1"
1460394972,1.000000,"0-2000 blocks, one in 1"
1460398681,1.000000,"0-2000 blocks, one in 1"
1460402107,1.000000,"0-2000 blocks, one in 1"
1460404863,1.000000,"0-2000 blocks, one in 1"
1462132297,1.000000,"0-2000 blocks, one in 1"
1462388472,1.000000,"0-2000 blocks, one in 1"
1463581250,1.000000,"0-2000 blocks, one in 1"
1463584558,1.000000,"0-2000 blocks, one in 1"
1463859278,7.987805,"5000-10000 blocks, one in 8"
1463917272,1.000000,"0-2000 blocks, one in 1"
1464371053,9.992593,"2000-5000 blocks, one in 10"
1464403148,1.000000,"0-2000 blocks, one in 1"
1464554290,9.992593,"2000-5000 blocks, one in 10"
1464814433,1.000000,"0-2000 blocks, one in 1"
1465828419,1.000000,"0-2000 blocks, one in 1"
1467238137,1.000000,"0-2000 blocks, one in 1"
1469186351,1.000000,"0-2000 blocks, one in 1"
1469603382,1.000000,"0-2000 blocks, one in 1"
1470300063,1.000000,"0-2000 blocks, one in 1"
1471328747,1.000000,"0-2000 blocks, one in 1"
1472068122,1.000000,"0-2000 blocks, one in 1"
1473240139,1.000000,"0-2000 blocks, one in 1"
1475452798,1.000000,"0-2000 blocks, one in 1"
1475693491,1.000000,"0-2000 blocks, one in 1"
1475738239,1.000000,"0-2000 blocks, one in 1"
1476164860,1.000000,"0-2000 blocks, one in 1"
1477588223,1.000000,"0-2000 blocks, one in 1"
1477620333,1.000000,"0-2000 blocks, one in 1"
1478219726,1.000000,"0-2000 blocks, one in 1"
1478278099,1.000000,"0-2000 blocks, one in 1"
1479156618,7.987805,"5000-10000 blocks, one in 8"
1479472159,1.000000,"0-2000 blocks, one in 1"
1481027803,1.000000,"0-2000 blocks, one in 1"
1482838320,1.000000,"0-2000 blocks, one in 1"
1482847692,1.000000,"0-2000 blocks, one in 1"
